mouse_strain,129SV
pvalue,0.3939429
mouse_life_stage,Early adult
gene_accession_id,MGI:2385884
parameter_id,UCDLA_EYE_083_001
gene_symbol,Ddx27
analysis_id,5wjdp9h54i29569
parameter_name,Vitreous
