analysis_id,mtv97y85h7r1hq4
mouse_life_stage,Early adult
parameter_id,IMPC_OFD_022_001
gene_accession_id,MGI:1920638
mouse_strain,129SV
gene_symbol,Bpifa3
pvalue,0.3819167
parameter_name,Percentage center time
