gene_symbol,Dcaf12
mouse_life_stage,Early adult
mouse_strain,C57BL
pvalue,0.3138243
parameter_name,Hemoglobin
gene_accession_id,MGI:1916220
analysis_id,9e0g2ew44vb65hl
parameter_id,IMPC_HEM_003_001
