gene_symbol,Kifap3
mouse_strain,C57BL
pvalue,0.2155831
mouse_life_stage,Early adult
analysis_id,tv2ef088u2ptrn7
parameter_id,ESLIM_008_001_001
gene_accession_id,MGI:107566
parameter_name,Body position
