gene_symbol,INPP1
gene_accession_id,MGI:104848
mouse_strain,C57BL
pvalue,0.9701387
parameter_id,MGP_MLN_011_001
analysis_id,66hmk26k120e580
parameter_name,KLRG1+ Treg cells - % of Treg
mouse_life_stage,Early adult
