analysis_id,tl7am4x622p13cc
parameter_name,Hindlimb digit - size
gene_symbol,Bach2
parameter_id,IMPC_CSD_047_001
gene_accession_id,MGI:894679
pvalue,0.736567
mouse_strain,C57BL
mouse_life_stage,Early adult
