analysis_id,67fl38q5bf2u467
gene_symbol,AU040320
mouse_strain,C57BL
parameter_name,Red blood cell count
parameter_id,ESLIM_016_001_002
gene_accession_id,MGI:2140475
pvalue,0.6999514
mouse_life_stage,Late adult
