gene_symbol,Hspa5
mouse_strain,C57BL
parameter_id,JAX_LDT_008_001
pvalue,0.8822183
mouse_life_stage,E9.5
analysis_id,n38oh4nf13y0x65
parameter_name,Percent time in dark
gene_accession_id,MGI:95835
