parameter_name,Hindlimbs - size
gene_accession_id,MGI:1914583
analysis_id,l7tg03gd1n8r67q
mouse_strain,C57BL
parameter_id,JAXLA_CSD_022_001
gene_symbol,Stk35
mouse_life_stage,Early adult
pvalue,0.8436794
