analysis_id,ntn0udy6rb0w146
gene_accession_id,MGI:1929866
gene_symbol,Rgs20
pvalue,0.09488917
parameter_id,IMPC_CSD_008_001
parameter_name,Coat - color pattern - back
mouse_strain,C57BL
mouse_life_stage,Early adult
