parameter_name,Right kidney weight
analysis_id,389tw01l5f713yt
gene_symbol,Ahctf1
parameter_id,IMPC_OWT_004_001
gene_accession_id,MGI:1915033
mouse_strain,C57BL
pvalue,0.8086282
mouse_life_stage,Early adult
