gene_symbol,Gfi1b
gene_accession_id,MGI:1276578
analysis_id,a4x8424a4jsl303
parameter_id,IMPC_GRS_009_001
mouse_strain,C57BL
mouse_life_stage,Early adult
parameter_name,Forelimb and hindlimb grip strength measurement mean
pvalue,0.223272
