analysis_id,225447c5eix7242
parameter_id,IMPC_DXA_009_001
pvalue,0.2030525
mouse_life_stage,Early adult
mouse_strain,C57BL
gene_accession_id,MGI:2685053
gene_symbol,Ntmt2
parameter_name,Fat/Body weight
