analysis_id,4fhc6a4s1l2m352
mouse_strain,C57BL
parameter_id,IMPC_ECH_003_001
pvalue,0.5436483
gene_accession_id,MGI:1346088
mouse_life_stage,Early adult
gene_symbol,CD52
parameter_name,Stroke Volume
