parameter_name,End-Systolic Diameter
mouse_life_stage,Early adult
gene_symbol,Stk35
mouse_strain,C57BL
pvalue,0.3825298
gene_accession_id,MGI:1914583
analysis_id,if8125wdyhbba70
parameter_id,IMPC_ECH_001_001
