mouse_life_stage,Middle aged adult
parameter_id,HRWLLA_CBC_014_001
mouse_strain,C57BL
analysis_id,us32r418gab2nk6
gene_accession_id,MGI:2140475
gene_symbol,AU040320
pvalue,0.474426
parameter_name,Alkaline phosphatase
