parameter_name,Retinal Blood Vessels
mouse_strain,C57BL
analysis_id,z3u9cuepr0z170v
mouse_life_stage,Late adult
pvalue,0.07774586
gene_accession_id,MGI:2441730
gene_symbol,Tbl1xr1
parameter_id,IMPC_EYE_024_001
