analysis_id,gx53q7mmphl1kv4
mouse_strain,C57BL
mouse_life_stage,Early adult
parameter_name,NK cells (Panel A) - % of live leukocytes (Panel A)
gene_accession_id,MGI:1914071
pvalue,0.7311692
gene_symbol,Bcs1l
parameter_id,IMPC_IMM_005_002
