parameter_name,End-Systolic Diameter
analysis_id,68o3g74r98a9fjt
mouse_life_stage,Middle aged adult
mouse_strain,C57BL
pvalue,0.2102499
gene_symbol,Lpgat1
parameter_id,IMPC_ECH_001_001
gene_accession_id,MGI:2446186
