analysis_id,4xp2h082w21k463
gene_accession_id,MGI:2674093
mouse_life_stage,Early adult
mouse_strain,C57BL
parameter_id,MGP_MLN_021_001
gene_symbol,Psd4
parameter_name,KLRG1+ gd T cells - % of gd T cells
pvalue,0.9782854
