parameter_name,Body position
gene_accession_id,MGI:88174
analysis_id,gqm8r7g15s01w4m
mouse_strain,C57BL
parameter_id,ESLIM_008_001_001
gene_symbol,Bmi1
mouse_life_stage,Early adult
pvalue,0.07579582
