analysis_id,2318j03ey94sdje
pvalue,0.1163388
gene_accession_id,MGI:1933159
parameter_name,12kHz-evoked ABR Threshold
gene_symbol,Rnf114
parameter_id,IMPC_ABR_006_001
mouse_strain,C57BL
mouse_life_stage,Early adult
