parameter_name,Eosinophil percentage
parameter_id,MGP_PBI_020_001
analysis_id,zv7d39j919dsf18
pvalue,0.5989758
gene_accession_id,MGI:3045306
mouse_life_stage,Early adult
mouse_strain,C57BL
gene_symbol,Exd1
