analysis_id,m7yuh086691s4w0
gene_symbol,Frmpd1
mouse_strain,C57BL
parameter_id,MGP_IMM_125_001
mouse_life_stage,Early adult
pvalue,0.6379298
parameter_name,Eosinophils - % of CD45+
gene_accession_id,MGI:2446274
