analysis_id,487c50597e2d71l
gene_accession_id,MGI:1860103
parameter_id,IMPC_EYE_056_001
pvalue,0.5319494
parameter_name,Mean left eye lens density
gene_symbol,Slc2a8
mouse_life_stage,Early adult
mouse_strain,C57BL
