gene_symbol,Npbwr1
pvalue,0.3646345
mouse_life_stage,Early adult
mouse_strain,C57BL
gene_accession_id,MGI:891989
analysis_id,m1y45g97945au61
parameter_id,HMGULA_CBC_009_001
parameter_name,Calcium
