parameter_name,Respiration Rate
parameter_id,IMPC_ECH_018_001
mouse_strain,C57BL
gene_accession_id,MGI:1915524
analysis_id,59bkyovs02sji5j
gene_symbol,Toporsl
pvalue,0.2428888
mouse_life_stage,Early adult
