parameter_id,IMPC_GEL_057_001
gene_accession_id,MGI:2446274
analysis_id,317655sgs25l5v3
mouse_life_stage,Late adult
gene_symbol,Frmpd1
mouse_strain,C57BL
parameter_name,Heart looping
pvalue,0.2664379
