analysis_id,f9244sa2j80k084
parameter_id,MGP_PBI_034_001
mouse_strain,C57BL
gene_symbol,Bmi1
mouse_life_stage,E12.5
gene_accession_id,MGI:88174
pvalue,0.8970022
parameter_name,B cell number
