analysis_id,n0r42k2671j0f4i
mouse_strain,C57BL
gene_accession_id,MGI:2140475
pvalue,0.8288947
mouse_life_stage,Late adult
gene_symbol,AU040320
parameter_name,Mean left eye lens density
parameter_id,IMPC_EYE_056_001
