parameter_name,Eosinophil number
analysis_id,czla8e23t4p33w6
parameter_id,MGP_PBI_040_001
mouse_life_stage,Early adult
gene_symbol,Ola1
pvalue,0.07098461
gene_accession_id,MGI:1914309
mouse_strain,C57BL
