analysis_id,025w60uns1zf159
mouse_life_stage,Early adult
parameter_id,MGP_MLN_009_001
mouse_strain,C57BL
parameter_name,Effector Treg cells - % of Treg
pvalue,0.651006
gene_symbol,Opn3
gene_accession_id,MGI:1338022
