parameter_id,HMGULA_CBC_017_001
pvalue,0.3916557
mouse_strain,C57BL
gene_symbol,Mgst2
gene_accession_id,MGI:2448481
parameter_name,Triglycerides
analysis_id,k19csm0k0865b0z
mouse_life_stage,Early adult
