analysis_id,0dl026dfdv4omi3
parameter_id,IMPC_CBC_013_001
parameter_name,Alanine aminotransferase
pvalue,0.6869563
mouse_life_stage,Early adult
mouse_strain,C57BL
gene_accession_id,MGI:99501
gene_symbol,Fgb
