analysis_id,gcl6q4t8je45ww6
gene_symbol,Nucks1
pvalue,0.6235908
gene_accession_id,MGI:1934811
mouse_strain,C57BL
parameter_id,IMPC_IMM_063_001
parameter_name,B Cells
mouse_life_stage,Late adult
