parameter_name,Femur
pvalue,0.2887487
parameter_id,IMPC_XRY_024_001
mouse_strain,C57BL
mouse_life_stage,Late adult
gene_symbol,AU040320
gene_accession_id,MGI:2140475
analysis_id,0x9w4fuad41erjv
