parameter_id,IMPC_LDT_006_001
gene_accession_id,MGI:1927232
analysis_id,n7izgm6uy3efo9f
mouse_strain,C57BL
pvalue,0.2429088
gene_symbol,Rab13
mouse_life_stage,Early adult
parameter_name,Latency to first transition into dark
