analysis_id,6s3lw23641ihyus
mouse_strain,C57BL
gene_accession_id,MGI:88461
gene_symbol,Col6a3
mouse_life_stage,Early adult
pvalue,0.2997554
parameter_name,Follicular B cells - % of CD45+
parameter_id,MGP_IMM_112_001
