gene_symbol,Cd52
mouse_strain,C57BL
parameter_id,IMPC_HEM_037_001
pvalue,0.8468329
mouse_life_stage,Early adult
parameter_name,Basophil cell count
analysis_id,0iecy1nb07auuv9
gene_accession_id,MGI:1346088
