parameter_id,IMPC_ECG_028_001
parameter_name,QT
mouse_strain,C57BL
mouse_life_stage,Early adult
pvalue,0.8412706
gene_accession_id,MGI:3650254
analysis_id,32a049hj5eu9255
gene_symbol,Zfp683
