analysis_id,20tbp19py7usq01
parameter_name,Lean mass
gene_symbol,Nucks1
pvalue,0.57286
mouse_life_stage,Late adult
parameter_id,JAXLA_DXA_003_001
gene_accession_id,MGI:1934811
mouse_strain,C57BL
