parameter_name,Fasted blood glucose concentration
parameter_id,IMPC_IPG_010_001
mouse_life_stage,Early adult
gene_accession_id,MGI:1920638
pvalue,0.1598371
mouse_strain,C57BL
gene_symbol,Bpifa3
analysis_id,zp2hydok92rniqy
