analysis_id,l708ev45o9b6hr4
gene_symbol,Fgb
parameter_name,Upper teeth appearance
mouse_life_stage,E12.5
pvalue,0.5906469
gene_accession_id,MGI:99501
mouse_strain,C57BL
parameter_id,IMPC_CSD_069_001
