pvalue,7.691076e-05
mouse_strain,C57BL
gene_symbol,Pglyrp3
parameter_name,Weight
parameter_id,CCP_LFO_001_001
mouse_life_stage,Early adult
gene_accession_id,MGI:2685266
analysis_id,3u268v37880pnb0
