analysis_id,impi7184w085d38
pvalue,0.7780594
mouse_life_stage,Early adult
gene_symbol,Clvs1
parameter_name,Fat mass
mouse_strain,C57BL
parameter_id,IMPC_DXA_002_001
gene_accession_id,MGI:1921688
