analysis_id,11gr3i27z0w6k7b
parameter_id,IMPC_HEM_008_001
mouse_strain,C57BL
gene_symbol,Kcng1
mouse_life_stage,Early adult
parameter_name,Platelet count
gene_accession_id,MGI:3616086
pvalue,0.716728
