parameter_name,Mean cell volume
parameter_id,IMPC_HEM_005_001
analysis_id,3xn4vuj95x32077
gene_symbol,Wars2
pvalue,0.26241
gene_accession_id,MGI:1917810
mouse_strain,C57BL
mouse_life_stage,E12.5
