gene_symbol,Bdh2
analysis_id,o0ph5n254vt225c
mouse_life_stage,Early adult
parameter_name,Total bilirubin
gene_accession_id,MGI:1917022
pvalue,0.717191
mouse_strain,C57BL
parameter_id,IMPC_CBC_008_001
