gene_symbol,Frmpd1
parameter_id,IMPC_HEM_004_001
mouse_life_stage,Late adult
analysis_id,2xacrvklp402ecx
gene_accession_id,MGI:2446274
pvalue,0.5634437
mouse_strain,C57BL
parameter_name,Hematocrit
