analysis_id,80kb45sx5l67cxp
parameter_id,JAX_OFD_013_001
mouse_life_stage,Early adult
mouse_strain,C57BL
parameter_name,Periphery average speed
gene_accession_id,MGI:1919137
gene_symbol,Ppm1j
pvalue,0.1842277
