analysis_id,9y94yy697zxlx3l
mouse_life_stage,Early adult
pvalue,0.6587434
gene_accession_id,MGI:3650254
parameter_name,Glucose
gene_symbol,Zfp683
parameter_id,HMGULA_CBC_018_001
mouse_strain,C57BL
