analysis_id,20a6x9jzngmo931
gene_symbol,Sgip1
mouse_life_stage,Early adult
parameter_id,JAXLA_CSD_021_001
gene_accession_id,MGI:1920344
parameter_name,Hindlimbs - shape
pvalue,0.6183695
mouse_strain,C57BL
