analysis_id,71x7600j84m8v87
gene_accession_id,MGI:1914071
parameter_id,IMPC_XRY_033_001
mouse_strain,C57BL
parameter_name,Tibia length
gene_symbol,Bcs1l
mouse_life_stage,E12.5
pvalue,0.05270493
