analysis_id,8w0sc77qb2v09ly
pvalue,0.6500858
gene_accession_id,MGI:3033992
mouse_life_stage,Early adult
parameter_name,Creatinine
parameter_id,JAX_URI_002_001
gene_symbol,Cldn19
mouse_strain,C57BL
