parameter_name,Hematocrit
analysis_id,vk32kwn16s7u740
parameter_id,IMPC_HEM_004_001
mouse_life_stage,E9.5
pvalue,0.7439939
gene_accession_id,MGI:97838
gene_symbol,Eprs1
mouse_strain,C57BL
