analysis_id,250wkz15hil41r2
pvalue,0.9782363
mouse_strain,C57BL
parameter_id,IMPC_GEL_063_001
gene_accession_id,MGI:1925049
gene_symbol,Sla2
mouse_life_stage,Early adult
parameter_name,Delayed embryonic development
