analysis_id,c0joi0vi1ttyzc8
gene_symbol,Rufy4
mouse_life_stage,Early adult
parameter_name,Coat colouration
parameter_id,M-G-P_026_001_004
pvalue,0.8478503
gene_accession_id,MGI:3588214
mouse_strain,C57BL
