parameter_name,Periphery distance travelled
gene_accession_id,MGI:2385156
gene_symbol,Sdcbp2
mouse_life_stage,Early adult
parameter_id,HRWLLA_OFD_010_001
analysis_id,7in4m7h60w0mfs0
mouse_strain,C57BL
pvalue,0.3421853
