analysis_id,y5eo0avkdj452pc
parameter_id,MGP_IMM_089_001
pvalue,0.3344649
mouse_life_stage,Early adult
parameter_name,KLRG1+ gd T cells - % of CD45+
gene_accession_id,MGI:1915524
mouse_strain,C57BL
gene_symbol,Toporsl
