parameter_name,Corneal vascularization
gene_symbol,F2
mouse_strain,C57BL
pvalue,0.6467859
gene_accession_id,MGI:88380
parameter_id,IMPC_EYE_009_001
analysis_id,xqrax0sv13o63tw
mouse_life_stage,Early adult
