gene_symbol,Trdmt1
mouse_life_stage,Early adult
mouse_strain,C57BL
parameter_name,18kHz-evoked ABR Threshold
analysis_id,664d3jp50753a2z
pvalue,0.243268
gene_accession_id,MGI:1274787
parameter_id,IMPC_ABR_008_001
