parameter_name,eye size
mouse_strain,C57BL
pvalue,0.5961076
analysis_id,w2g757q576s44wd
parameter_id,ESLIM_001_001_117
mouse_life_stage,E12.5
gene_accession_id,MGI:1914071
gene_symbol,Bcs1l
