analysis_id,g5vv245z5t7ecz4
gene_symbol,Ncaph
parameter_name,Triglycerides
pvalue,0.8837871
mouse_strain,C57BL
parameter_id,HMGULA_CBC_017_001
gene_accession_id,MGI:2444777
mouse_life_stage,Early adult
