analysis_id,6or9i28a6817ckw
mouse_strain,C57BL
pvalue,0.5671666
mouse_life_stage,Early adult
parameter_name,Initial response to glucose challenge
gene_accession_id,MGI:1913284
parameter_id,IMPC_IPG_011_001
gene_symbol,Psmd14
